Year,Extent_Global,Extent_North,Extent_South,Change_Global,Change_North,Change_South
1979,24.003,12.35,11.654,0.0,0.0,0.0
1980,23.556,12.35,11.206,-0.448,0.0,-0.448
1981,23.535,12.147,11.388,-0.469,-0.202,-0.266
1982,24.062,12.467,11.594,0.058,0.118,-0.06
1983,23.696,12.353,11.343,-0.307,0.003,-0.31
1984,23.349,11.92,11.428,-0.654,-0.429,-0.225
1985,23.586,12.016,11.57,-0.418,-0.334,-0.084
1986,23.268,12.225,11.044,-0.735,-0.125,-0.61
1987,23.847,12.183,11.664,-0.156,-0.166,0.01
1988,23.605,12.202,11.403,-0.399,-0.148,-0.251
1989,23.366,11.987,11.379,-0.637,-0.363,-0.275
1990,23.08,11.717,11.364,-0.923,-0.633,-0.29
1991,23.269,11.77,11.498,-0.735,-0.579,-0.156
1992,23.495,12.121,11.374,-0.508,-0.228,-0.28
1993,23.316,11.945,11.371,-0.687,-0.404,-0.283
1994,23.759,12.032,11.727,-0.244,-0.317,0.073
1995,23.186,11.438,11.748,-0.817,-0.912,0.094
1996,23.595,11.85,11.745,-0.409,-0.499,0.091
1997,23.031,11.69,11.341,-0.973,-0.66,-0.313
1998,23.471,11.78,11.69,-0.533,-0.569,0.037
1999,23.424,11.713,11.712,-0.579,-0.637,0.058
2000,23.242,11.519,11.723,-0.761,-0.831,0.069
2001,23.25,11.622,11.628,-0.753,-0.728,-0.026
2002,22.56,11.386,11.174,-1.443,-0.964,-0.48
2003,23.343,11.419,11.924,-0.66,-0.931,0.27
2004,23.19,11.251,11.939,-0.813,-1.098,0.285
2005,22.576,10.928,11.648,-1.428,-1.422,-0.006
2006,22.208,10.794,11.414,-1.796,-1.556,-0.24
2007,22.136,10.499,11.637,-1.867,-1.851,-0.017
2008,23.206,10.99,12.215,-0.798,-1.359,0.562
2009,22.954,10.956,11.998,-1.05,-1.394,0.344
2010,22.79,10.734,12.056,-1.213,-1.615,0.402
2011,21.957,10.508,11.449,-2.046,-1.842,-0.204
2012,22.4,10.419,11.981,-1.603,-1.93,0.327
2013,23.395,10.921,12.475,-0.608,-1.429,0.821
2014,23.538,10.813,12.726,-0.465,-1.537,1.072
2015,22.954,10.589,12.366,-1.049,-1.761,0.712
2016,21.355,10.176,11.178,-2.649,-2.173,-0.475
2017,21.117,10.415,10.702,-2.886,-1.934,-0.952
2018,21.239,10.35,10.889,-2.764,-2.0,-0.764
