Year,co2_mean,co2_gr,ch4_mean,ch4_gr
1961,317.64,0.78,1259.85,12.35
1962,318.45,0.56,1272.2,12.35
1963,318.99,0.57,1285.3,13.1
1964,319.62,0.49,1298.4,13.1
1965,320.04,1.1,1312.2,13.8
1966,321.37,1.1,1326.0,13.8
1967,322.18,0.61,1340.65,14.65
1968,323.05,0.99,1355.3,14.65
1969,324.62,1.32,1370.65,15.35
1970,325.68,1.13,1386.0,15.35
1971,326.32,0.73,1401.75,15.75
1972,327.46,1.47,1417.5,15.75
1973,329.68,1.46,1433.4,15.9
1974,330.19,0.68,1449.3,15.9
1975,331.13,1.23,1465.4,16.1
1976,332.03,0.97,1481.5,16.1
1977,333.84,1.92,1497.75,16.25
1978,335.41,1.29,1514.0,16.25
1979,336.85,2.14,1530.55,16.55
1980,338.91,1.68,1547.1,16.55
1981,340.11,1.15,1564.0,16.9
1982,340.85,1.0,1580.9,16.9
1983,342.53,1.84,1614.2,33.3
1984,344.07,1.23,1644.84,30.64
1985,345.54,1.65,1657.29,12.45
1986,346.97,1.02,1670.09,12.8
1987,348.68,2.65,1682.7,12.61
1988,351.16,2.17,1693.21,10.51
1989,352.79,1.46,1704.52,11.31
1990,354.06,1.22,1714.47,9.95
1991,355.39,0.75,1724.76,10.29
1992,356.09,0.72,1735.48,10.72
1993,356.83,1.23,1736.48,1.0
1994,358.33,1.66,1742.05,5.57
1995,360.17,2.0,1748.88,6.83
1996,361.93,1.06,1751.3,2.42
1997,363.04,1.97,1754.51,3.21
1998,365.7,2.84,1765.53,11.02
1999,367.79,1.33,1772.3,6.77
2000,368.96,1.25,1773.22,0.92
2001,370.57,1.85,1771.29,-1.93
2002,372.58,2.36,1772.66,1.37
2003,375.14,2.29,1777.33,4.67
2004,376.95,1.56,1777.02,-0.31
2005,378.98,2.47,1774.25,-2.77
2006,381.15,1.78,1774.94,0.69
2007,382.9,2.13,1781.38,6.44
2008,385.02,1.78,1787.01,5.63
2009,386.5,1.58,1793.54,6.53
2010,388.75,2.36,1798.89,5.35
2011,390.62,1.73,1803.08,4.19
2012,392.65,2.42,1808.12,5.04
2013,395.4,2.45,1813.43,5.31
2014,397.34,2.03,1822.54,9.11
2015,399.65,2.95,1834.21,11.67
2016,403.07,2.83,1843.12,8.91
2017,405.22,2.14,1849.58,6.46
2018,407.61,2.39,1857.34,7.76
2019,410.07,2.5,1866.58,9.24
2020,412.44,2.32,1878.72,12.14
