year,co2_mean,co2_gr
1961,317.64,0.78
1962,318.45,0.56
1963,318.99,0.57
1964,319.62,0.49
1965,320.04,1.1
1966,321.37,1.1
1967,322.18,0.61
1968,323.05,0.99
1969,324.62,1.32
1970,325.68,1.13
1971,326.32,0.73
1972,327.46,1.47
1973,329.68,1.46
1974,330.19,0.68
1975,331.13,1.23
1976,332.03,0.97
1977,333.84,1.92
1978,335.41,1.29
1979,336.85,2.14
1980,338.91,1.68
1981,340.11,1.15
1982,340.85,1.0
1983,342.53,1.84
1984,344.07,1.23
1985,345.54,1.65
1986,346.97,1.02
1987,348.68,2.65
1988,351.16,2.17
1989,352.79,1.46
1990,354.06,1.22
1991,355.39,0.75
1992,356.09,0.72
1993,356.83,1.23
1994,358.33,1.66
1995,360.17,2.0
1996,361.93,1.06
1997,363.04,1.97
1998,365.7,2.84
1999,367.79,1.33
2000,368.96,1.25
2001,370.57,1.85
2002,372.58,2.36
2003,375.14,2.29
2004,376.95,1.56
2005,378.98,2.47
2006,381.15,1.78
2007,382.9,2.13
2008,385.02,1.78
2009,386.5,1.58
2010,388.75,2.36
2011,390.62,1.73
2012,392.65,2.42
2013,395.4,2.45
2014,397.34,2.03
2015,399.65,2.95
2016,403.07,2.83
2017,405.22,2.14
2018,407.61,2.39
2019,410.07,2.5
2020,412.44,2.32
2021,414.7,2.45
2022,417.08,2.25
2023,419.35,2.74
