year,extent_north,extent_south,extent_global,change_north,change_south,change_global
1979,12.35,11.654,24.003,0.0,0.0,0.0
1980,12.35,11.206,23.556,-0.0,-0.448,-0.448
1981,12.147,11.388,23.535,-0.202,-0.266,-0.469
1982,12.467,11.594,24.062,0.118,-0.06,0.058
1983,12.353,11.343,23.696,0.003,-0.31,-0.307
1984,11.92,11.428,23.349,-0.429,-0.225,-0.654
1985,12.016,11.57,23.586,-0.334,-0.084,-0.418
1986,12.225,11.044,23.268,-0.125,-0.61,-0.735
1987,12.183,11.664,23.847,-0.166,0.01,-0.156
1988,12.202,11.403,23.605,-0.148,-0.251,-0.399
1989,11.987,11.379,23.366,-0.363,-0.275,-0.637
1990,11.717,11.364,23.08,-0.633,-0.29,-0.923
1991,11.77,11.498,23.268,-0.579,-0.156,-0.735
1992,12.121,11.374,23.495,-0.228,-0.28,-0.508
1993,11.945,11.371,23.316,-0.404,-0.283,-0.687
1994,12.032,11.727,23.759,-0.317,0.073,-0.244
1995,11.438,11.748,23.186,-0.912,0.094,-0.817
1996,11.85,11.745,23.595,-0.499,0.091,-0.408
1997,11.69,11.341,23.031,-0.66,-0.313,-0.973
1998,11.78,11.69,23.471,-0.569,0.036,-0.533
1999,11.713,11.712,23.424,-0.637,0.058,-0.579
2000,11.519,11.723,23.242,-0.831,0.069,-0.761
2001,11.622,11.628,23.25,-0.728,-0.026,-0.753
2002,11.386,11.174,22.56,-0.964,-0.48,-1.444
2003,11.419,11.924,23.343,-0.93,0.27,-0.66
2004,11.251,11.939,23.19,-1.098,0.285,-0.813
2005,10.928,11.648,22.576,-1.422,-0.006,-1.428
2006,10.794,11.414,22.208,-1.556,-0.24,-1.796
2007,10.499,11.637,22.136,-1.85,-0.017,-1.867
2008,10.99,12.215,23.206,-1.359,0.562,-0.798
2009,10.956,11.998,22.954,-1.394,0.344,-1.05
2010,10.734,12.056,22.79,-1.615,0.402,-1.213
2011,10.508,11.449,21.957,-1.842,-0.204,-2.046
2012,10.419,11.981,22.4,-1.93,0.327,-1.603
2013,10.921,12.475,23.396,-1.429,0.821,-0.608
2014,10.813,12.726,23.538,-1.537,1.072,-0.465
2015,10.589,12.365,22.954,-1.761,0.712,-1.049
2016,10.176,11.178,21.355,-2.173,-0.475,-2.649
2017,10.415,10.702,21.117,-1.934,-0.952,-2.886
2018,10.35,10.889,21.239,-2.0,-0.764,-2.764
